"Protein","Status","logFC","AveExpr","t","P.Value","FDR","B","Protein.panel_3","Protein.panel"
"AIDA","M50_status",-0.149799899,0.164716929,-3.01878405,0.002539381,0.027066933,-1.909258047,"Other","Neurology"
"CEACAM1","M50_status",0.04488197,-0.009662798,3.092972034,0.001982685,0.022376021,-1.749950839,"Other","Oncology"
"CLEC2L","M50_status",-0.097912009,0.083148065,-3.287696764,0.001010905,0.014004151,-1.088356409,"Other","Neurology"
"EIF1AX","M50_status",-0.094635431,0.102428358,-2.929193374,0.003400146,0.032773033,-2.168378149,"Other","Neurology"
"GABARAPL1","M50_status",-0.10703524,0.133141633,-2.792041284,0.005239927,0.044391014,-2.548224433,"Other","Oncology"
"HS6ST2","M50_status",0.066412024,0.029374483,3.197945014,0.001385097,0.017679647,-1.365963675,"Inflammation","Inflammation"
"KIAA2013","M50_status",-0.09379273,0.117820988,-2.89450813,0.003799372,0.03536804,-2.268404388,"Other","Oncology"
"KITLG","M50_status",-0.067218431,-0.026278965,-3.023130069,0.002502977,0.026897796,-1.95482566,"Cardiometabolic","Cardiometabolic"
"MAPRE3","M50_status",-0.260445887,0.505830629,-3.05895777,0.002222444,0.024513979,-1.784553384,"Other","Oncology"
"MED21","M50_status",-0.083629341,0.070729194,-2.874602454,0.004047334,0.036969863,-2.316028298,"Cardiometabolic","Cardiometabolic"
"MN1","M50_status",-0.105530388,0.075179053,-3.122573835,0.001793945,0.020974801,-1.600714003,"Other","Neurology"
"NMI","M50_status",0.12158861,0.063258205,2.865297794,0.004168127,0.037430922,-2.346476049,"Other","Oncology"
"PDCD6","M50_status",-0.113119417,-0.171325817,-2.763434943,0.005721679,0.04658626,-2.685786081,"Cardiometabolic","Cardiometabolic"
"SMAD1","M50_status",0.133970891,0.056594546,2.742725178,0.006095321,0.048846052,-2.733861836,"Other","Oncology"
"UXS1","M50_status",0.110111432,0.00740446,3.54934004,0.00038655,0.0069746,-0.266541133,"Other","Oncology"
